"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1981","1981",71.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1982","1982",71.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1983","1983",72.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1984","1984",72.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1985","1985",72.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1986","1986",72.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1987","1987",73.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1988","1988",73.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1989","1989",73.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1990","1990",73.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1991","1991",74.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1992","1992",74.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1993","1993",75,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1994","1994",75,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1995","1995",75,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1996","1996",75.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1997","1997",75.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1998","1998",75.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","1999","1999",76.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2000","2000",76.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2001","2001",77,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2002","2002",77.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2003","2003",77.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2004","2004",78.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2005","2005",78.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2006","2006",78.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2007","2007",79,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2008","2008",79.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2009","2009",79.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2010","2010",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2011","2011",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2012","2012",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2013","2013",80.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2014","2014",80.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2015","2015",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2016","2016",80.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1960","1960",70.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1961","1961",71.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1962","1962",71,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1963","1963",71.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1964","1964",70.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1965","1965",71,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1966","1966",70.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1967","1967",71.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1968","1968",70.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1969","1969",71.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1970","1970",70.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1971","1971",71.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1972","1972",72,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1973","1973",72.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1974","1974",71.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1975","1975",72.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1976","1976",72.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1977","1977",73.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1978","1978",73.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1979","1979",74.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1980","1980",74.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1981","1981",74.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1982","1982",74.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1983","1983",75.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1984","1984",75.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1985","1985",75.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1986","1986",76.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1987","1987",76.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1988","1988",76.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1989","1989",76.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1990","1990",77,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1991","1991",77.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1992","1992",77.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1993","1993",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1994","1994",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1995","1995",77.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1996","1996",78.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1997","1997",78.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1998","1998",78.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","1999","1999",79,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2000","2000",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2001","2001",79.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2002","2002",80,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2003","2003",80.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2004","2004",80.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2005","2005",80.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2006","2006",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2007","2007",81.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2008","2008",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2009","2009",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2010","2010",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2011","2011",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2012","2012",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2013","2013",82.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2014","2014",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2015","2015",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2016","2016",82.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1960","1960",71.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1961","1961",72.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1962","1962",72.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1963","1963",72.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1964","1964",73.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1965","1965",73,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1966","1966",73.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1967","1967",73.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1968","1968",73.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1969","1969",73.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1970","1970",73.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1971","1971",73.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1972","1972",74.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1973","1973",74.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1974","1974",74.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1975","1975",74.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1976","1976",75.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1977","1977",75.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1978","1978",75.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1979","1979",76,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1980","1980",76.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1981","1981",76.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1982","1982",76.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1983","1983",76.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1984","1984",77.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1985","1985",77.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1986","1986",77.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1987","1987",78.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1988","1988",78.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1989","1989",78.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1990","1990",79,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1991","1991",79.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1992","1992",79.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1993","1993",79.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1994","1994",79.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1995","1995",80.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1996","1996",80.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1997","1997",80.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1998","1998",81,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","1999","1999",81,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2000","2000",81.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2001","2001",81.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2002","2002",81.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2003","2003",81.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2004","2004",82.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2005","2005",82.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2006","2006",82.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2007","2007",83.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2008","2008",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2009","2009",83.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2010","2010",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2011","2011",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2012","2012",83.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2013","2013",83.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2014","2014",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2015","2015",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUT","Austria","2016","2016",84.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1960","1960",65.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1961","1961",66.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1962","1962",66.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1963","1963",66.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1964","1964",66.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1965","1965",66.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1966","1966",66.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1967","1967",66.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1968","1968",66.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1969","1969",66.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1970","1970",66.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1971","1971",66.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1972","1972",67,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1973","1973",67.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1974","1974",67.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1975","1975",67.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1976","1976",68.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1977","1977",68.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1978","1978",68.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1979","1979",68.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1980","1980",69,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1981","1981",69.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1982","1982",69.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1983","1983",69.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1984","1984",70.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1985","1985",70.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1986","1986",71,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1987","1987",71.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1988","1988",71.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1989","1989",71.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1990","1990",72.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1991","1991",72.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1992","1992",72.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1993","1993",72.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1994","1994",73.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1995","1995",73.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1996","1996",73.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1997","1997",74.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1998","1998",74.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","1999","1999",74.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2000","2000",75.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2001","2001",75.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2002","2002",75.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2003","2003",75.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2004","2004",76.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2005","2005",76.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2006","2006",77.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2007","2007",77.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2008","2008",77.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2009","2009",77.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2010","2010",77.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2011","2011",78.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2012","2012",78.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2013","2013",78.6,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2014","2014",79.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2015","2015",78.8,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUT","Austria","2016","2016",79.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1960","1960",68.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1961","1961",69.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1962","1962",69.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1963","1963",69.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1964","1964",70,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1965","1965",69.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1966","1966",70.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1967","1967",70,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1968","1968",70.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1969","1969",69.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1970","1970",70,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1971","1971",70.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1972","1972",70.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1973","1973",71.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1974","1974",71.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1975","1975",71.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","1976","1976",71.7,,
